119.207.72.77 - - [02/Jun/2019:00:02:33 +0900] "GET /home/en/whoweare/korea.do HTTP/1.1" 200 41490
40.77.167.217 - - [02/Jun/2019:00:02:56 +0900] "GET /error/kr/error.jsp HTTP/1.1" 500 3570
49.175.93.207 - - [02/Jun/2019:00:07:44 +0900] "GET /home/watwedo/history.do HTTP/1.1" 200 10614
49.175.93.207 - - [02/Jun/2019:00:08:33 +0900] "GET /home/watwedo/philosophy.do HTTP/1.1" 200 7162
40.77.167.217 - - [02/Jun/2019:00:08:57 +0900] "GET /error/kr/error.jsp HTTP/1.1" 500 3570
1.46.161.120 - - [02/Jun/2019:00:10:30 +0900] "GET /index.jsp HTTP/1.1" 302 -
1.46.161.120 - - [02/Jun/2019:00:10:31 +0900] "GET /home/en/main/main.do HTTP/1.1" 200 11133
49.175.93.207 - - [02/Jun/2019:00:11:17 +0900] "GET /home/whoweare/korea.do HTTP/1.1" 200 28491
217.182.203.55 - - [02/Jun/2019:00:11:36 +0900] "GET /index.jsp HTTP/1.1" 302 -
217.182.203.55 - - [02/Jun/2019:00:11:39 +0900] "GET /home/en/main/main.do HTTP/1.1" 200 11133
13.57.9.243 - - [02/Jun/2019:00:13:29 +0900] "GET /error/kr/error.jsp HTTP/1.1" 500 3570
13.57.9.243 - - [02/Jun/2019:00:13:30 +0900] "GET /index.jsp HTTP/1.1" 302 -
13.57.9.243 - - [02/Jun/2019:00:13:30 +0900] "GET /home/en/main/main.do HTTP/1.1" 200 11133
49.175.93.207 - - [02/Jun/2019:00:13:41 +0900] "GET /home/whoweare/china.do HTTP/1.1" 200 11299
49.175.93.207 - - [02/Jun/2019:00:13:59 +0900] "GET /home/meetourpartners/all.do HTTP/1.1" 200 101569
49.175.93.207 - - [02/Jun/2019:00:14:04 +0900] "GET /home/meetourpartners/domestic.do HTTP/1.1" 200 73451
49.175.93.207 - - [02/Jun/2019:00:14:06 +0900] "GET /home/news/news/list.do HTTP/1.1" 200 7091
49.175.93.207 - - [02/Jun/2019:00:14:09 +0900] "GET /home/news/news/view.do?page=1&num=2 HTTP/1.1" 200 6977
49.175.93.207 - - [02/Jun/2019:00:14:13 +0900] "GET /home/contact/contact.do HTTP/1.1" 200 5224
49.175.93.207 - - [02/Jun/2019:00:14:20 +0900] "GET /home/about/about.do HTTP/1.1" 200 14136
49.175.93.207 - - [02/Jun/2019:00:14:28 +0900] "GET /home/watwedo/overview.do HTTP/1.1" 200 6147
49.175.93.207 - - [02/Jun/2019:00:14:42 +0900] "GET /home/main/main.do HTTP/1.1" 200 12336
49.175.93.207 - - [02/Jun/2019:00:14:49 +0900] "GET /home/meetourpartners/all.do HTTP/1.1" 200 101569
49.175.93.207 - - [02/Jun/2019:00:15:12 +0900] "GET /home/main/main.do HTTP/1.1" 200 12336
34.216.175.253 - - [02/Jun/2019:00:33:05 +0900] "GET /index.jsp HTTP/1.1" 302 -
34.216.175.253 - - [02/Jun/2019:00:33:06 +0900] "GET /home/en/main/main.do HTTP/1.1" 200 11133
34.216.175.253 - - [02/Jun/2019:00:33:06 +0900] "GET /home/en/watwedo/overview.do HTTP/1.1" 200 6156
34.216.175.253 - - [02/Jun/2019:00:33:06 +0900] "GET /home/en/watwedo/philosophy.do HTTP/1.1" 200 7112
34.216.175.253 - - [02/Jun/2019:00:33:06 +0900] "GET /home/en/meetourpartners/all.do HTTP/1.1" 200 95227
34.216.175.253 - - [02/Jun/2019:00:33:06 +0900] "GET /home/en/about/about.do HTTP/1.1" 200 14634
34.216.175.253 - - [02/Jun/2019:00:33:06 +0900] "GET /home/main/main.do HTTP/1.1" 200 12336
34.216.175.253 - - [02/Jun/2019:00:33:06 +0900] "GET /home/en/whoweare/korea.do HTTP/1.1" 200 29514
35.227.49.189 - - [02/Jun/2019:00:38:00 +0900] "GET /error/kr/error.jsp HTTP/1.0" 500 3570
35.227.49.189 - - [02/Jun/2019:00:38:00 +0900] "GET /index.jsp HTTP/1.0" 302 -
